Date,Rate,CGST%,Qty,CGST,SGST%,SGST,SlNo,Amount,IGST%,Qty,Item Name,IGST,Invoice No
09-04-24,3.60,9.00,10050,81.00,9.00,81.00,123,1062.00,0.00,250.00,VB-1313MT(0.45MMX22MM),0.00,10050
09-04-24,3.94,9.00,13800,88.65,9.00,88.65,124,1162.30,0.00,250.00,VB-1044 (0.45MMX22MM),0.00,13800
09-04-24,3.94,9.00,13800,17.73,9.00,17.73,125,232.46,0.00,50.00,VB-1044 (0.45MMX22MM),0.00,13800
09-04-24,4.03,9.00,0,90.68,9.00,90.68,126,1188.86,0.00,250.00,VAY BAND 1313 MT CLUD GREY,0.00,0
09-04-24,4.03,9.00,0,18.14,9.00,18.14,127,237.78,0.00,50.00,VAY BAND 1401 BLACK MATT,0.00,0
09-04-24,4.33,9.00,400,77.94,9.00,77.94,128,1021.88,0.00,200.00,VAY BAND 10944,0.00,400
09-04-24,4.33,9.00,0,194.85,9.00,194.85,129,2554.70,0.00,500.00,VAY BAND REALWOOD-2 DARK MAT,0.00,0
09-04-24,4.33,9.00,1150,97.42,9.00,97.42,130,1277.34,0.00,250.00,VAY BAND 4013MT,0.00,1150
09-04-24,4.33,9.00,1350,97.42,9.00,97.42,131,1277.34,0.00,250.00,VAY BAND 5771,0.00,1350
09-04-24,4.33,9.00,0,77.94,9.00,77.94,132,1021.88,0.00,200.00,VAY BAND 30029MT,0.00,0
09-04-24,4.33,9.00,5200,194.85,9.00,194.85,133,2554.70,0.00,500.00,VAY BAND 1873,0.00,5200
09-04-24,4.33,9.00,3700,97.42,9.00,97.42,134,1277.34,0.00,250.00,VAY BAND 10450,0.00,3700
09-04-24,4.33,9.00,50,194.85,9.00,194.85,135,2554.70,0.00,500.00,VAY BAND 1003 (0.5 MM),0.00,50
09-04-24,4.33,9.00,7300,97.42,9.00,97.42,136,1277.34,0.00,250.00,VAY BAND 11510,0.00,7300
09-04-24,4.33,9.00,0,194.85,9.00,194.85,137,2554.70,0.00,500.00,VAY BAND REALWOOD LIGHT MAT,0.00,0
09-04-24,4.33,9.00,0,97.42,9.00,97.42,138,1277.34,0.00,250.00,VAY BAND 5772,0.00,0
09-04-24,4.33,9.00,50,194.85,9.00,194.85,139,2554.70,0.00,500.00,VAY BAND 1003 (0.5 MM),0.00,50
09-04-24,4.33,9.00,50,97.42,9.00,97.42,140,1277.34,0.00,250.00,VAY BAND 19071,0.00,50
09-04-24,4.33,9.00,0,77.94,9.00,77.94,141,1021.88,0.00,200.00,VAY BAND 5095MT,0.00,0
09-04-24,4.33,9.00,300,77.94,9.00,77.94,142,1021.88,0.00,200.00,VAY BAND 19079,0.00,300
09-04-24,4.33,9.00,0,194.85,9.00,194.85,143,2554.70,0.00,500.00,VAY BAND 1043 (0.5 MM),0.00,0
09-04-24,4.33,9.00,0,194.85,9.00,194.85,144,2554.70,0.00,500.00,VAY BAND 1043 (0.5 MM),0.00,0
09-04-24,4.33,9.00,0,292.27,9.00,292.27,145,3832.04,0.00,750.00,VAY BAND 1043 (0.5 MM),0.00,0
09-04-24,4.66,9.00,50,41.94,9.00,41.94,146,549.88,0.00,100.00,VAY BAND 10485,0.00,50
09-04-24,4.66,9.00,1450,20.97,9.00,20.97,147,274.94,0.00,50.00,VAY BAND 19074,0.00,1450
09-04-24,4.66,9.00,0,20.97,9.00,20.97,148,274.94,0.00,50.00,VAY BAND 30086MT,0.00,0
09-04-24,4.66,9.00,0,20.97,9.00,20.97,149,274.94,0.00,50.00,VAY BAND 5550MT,0.00,0
