Item Code / SKU,Item Name,Older Avg Monthly Sales Qty,Recent Avg Monthly Sales Qty,Trend Change %,Sales Trend,Monthly Sales Std Dev,Sales CV,Consistency Class
VAY BAND 1313 HG CLUD GREY,VAY BAND 1313 HG CLUD GREY,1460.2941176470588,600.0,-58.91238670694864,Strong Downward Trend,1430.1554290642857,1.0742951579825621,Moderate
VAY BAND 1313 MT CLUD GREY,VAY BAND 1313 MT CLUD GREY,338.2352941176471,0.0,-100.0,Dormant Item,571.0707441918163,1.9863330232758827,Dormant
VAY BAND 1401 BLACK MATT,VAY BAND 1401 BLACK MATT,255.88235294117646,0.0,-100.0,Dormant Item,393.9526849111679,1.8112767122352549,Dormant
VAY BAND 1401GL BLACK GLOSSY,VAY BAND 1401GL BLACK GLOSSY,551.4705882352941,283.3333333333333,-48.62222222222223,Downward Trend,540.238254657028,1.0567007426054338,Moderate
VAY BAND 1401HG 40MMX50MTR,VAY BAND 1401HG 40MMX50MTR,33.8235294117647,0.0,-100.0,Dormant Item,107.94555845306279,3.7546281201065317,Dormant
VAY BAND 1515 VENGA MT,VAY BAND 1515 VENGA MT,200.0,0.0,-100.0,Dormant Item,237.45444907311253,1.3967908769006618,Dormant
VAY BAND 1515 VENGA MT (0.45MMX22MM),VAY BAND 1515 VENGA MT (0.45MMX22MM),4.411764705882353,33.333333333333336,655.5555555555555,Strong Upward Trend,27.473763708449052,3.1398587095370347,Irregular
VAY BAND 1735,VAY BAND 1735,122.05882352941177,0.0,-100.0,Dormant Item,321.73159302237934,3.101027402625343,Dormant
VAY BAND 1735 (.45X22MM),VAY BAND 1735 (.45X22MM),60.294117647058826,41.666666666666664,-30.894308943089438,Downward Trend,191.33471812238977,3.327560315171996,Irregular
VAY BAND 1735 40MM,VAY BAND 1735 40MM,55.88235294117647,0.0,-100.0,Dormant Item,98.67714774546073,2.0774136367465417,Dormant
VAY BAND 1873,VAY BAND 1873,1519.1176470588234,75.0,-95.06292352371733,Strong Downward Trend,1820.8532094203558,1.3979679151020006,Irregular
VAY BAND 1873 0.5MMX40MM,VAY BAND 1873 0.5MMX40MM,101.47058823529412,166.66666666666666,64.25120772946859,Strong Upward Trend,190.6424697753659,1.713640177756098,Irregular
VAY BAND 1873 0.8MMX22MM,VAY BAND 1873 0.8MMX22MM,282.3529411764706,316.6666666666667,12.152777777777777,Stable Trend,449.1801648702005,1.5623657908528712,Irregular
VAY BAND 1873 0.8MMX40MM,VAY BAND 1873 0.8MMX40MM,0.0,16.666666666666668,0.0,New Moving Item,15.811388300841895,6.324555320336758,One-time Sale
VAY BAND 1873 2MMX22MM,VAY BAND 1873 2MMX22MM,52.94117647058823,16.666666666666668,-68.5185185185185,Strong Downward Trend,195.11666464070362,4.107719255593761,Irregular
VAY BAND 1873 2MMX40MM,VAY BAND 1873 2MMX40MM,8.823529411764707,0.0,-100.0,Dormant Item,33.10821417947284,4.4144285572630455,Dormant
VAY BAND 19070,VAY BAND 19070,816.1764705882352,0.0,-100.0,Dormant Item,1100.360517844388,1.5861052509468654,Dormant
VAY BAND 19070 0.5MMX40MM,VAY BAND 19070 0.5MMX40MM,0.0,0.0,0.0,No Sales,0.0,0.0,Irregular
VAY BAND 19071,VAY BAND 19071,619.1176470588235,0.0,-100.0,Dormant Item,753.282347378322,1.4314153869421795,Dormant
VAY BAND 19074,VAY BAND 19074,398.52941176470586,0.0,-100.0,Dormant Item,505.9248322601253,1.4935050398822887,Dormant
VAY BAND 19079,VAY BAND 19079,429.4117647058824,0.0,-100.0,Dormant Item,491.88282949165654,1.3476241903881,Dormant
VAY BAND 2010 IVORY MAT,VAY BAND 2010 IVORY MAT,35.294117647058826,0.0,-100.0,Dormant Item,71.43223433831608,2.3810744779438693,Dormant
VAY BAND 2011 RED MAT,VAY BAND 2011 RED MAT,38.23529411764706,0.0,-100.0,Dormant Item,90.9705503206451,2.7990938560198493,Dormant
VAY BAND 2012 PINK MAT,VAY BAND 2012 PINK MAT,27.941176470588236,0.0,-100.0,Dormant Item,65.03204338375556,2.7381913003686553,Dormant
VAY BAND 30007MT,VAY BAND 30007MT,214.7058823529412,0.0,-100.0,Dormant Item,267.3588772245448,1.464980149175588,Dormant
