SlNo,Invoice No,Date,Item Name,Rate,Qty,CGST%,CGST,SGST%,SGST,IGST%,IGST,Amount
144,41,8/4/2025,VB-1122 VENGA( 0.45X22MM),3.94,100,9,35.46,9,35.46,0,0,464.92
145,41,8/4/2025,VB-1313MT(0.45MMX22MM),3.6,200,9,64.8,9,64.8,0,0,849.6
146,41,8/4/2025,VB-1698 {0.45X22MM},3.94,150,9,53.19,9,53.19,0,0,697.38
147,41,8/4/2025,VB-2890 MT(0.45X22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
148,42,8/4/2025,VAY BAND 1735 (.45X22MM),3.94,100,9,35.46,9,35.46,0,0,464.92
149,42,8/4/2025,VB-10659 (0.45X22MM),3.94,200,9,70.92,9,70.92,0,0,929.84
150,43,8/4/2025,VB-REALWOOD3 (0.45X22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
151,44,8/4/2025,VAY BAND 10659 0.8MMX22MM,8.5,250,9,191.25,9,191.25,0,0,2507.5
152,44,8/4/2025,VAY BAND 1126 HG (.5),6.19,300,9,167.13,9,167.13,0,0,2191.26
153,44,8/4/2025,VAY BAND 1126 MT .45X22MM,3.6,100,9,32.4,9,32.4,0,0,424.8
154,44,8/4/2025,VAY BAND 1401HG 40MMX50MTR,11.88,100,9,106.92,9,106.92,0,0,1401.84
155,44,8/4/2025,VB-10659 MT(0.8MMX40MM),16.52,250,9,371.7,9,371.7,0,0,4873.4
156,44,8/4/2025,VB-1131(O.45X22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
157,44,8/4/2025,VB-1291 ELECTRIC BLUE (0.45MMX22MM),3.6,100,9,32.4,9,32.4,0,0,424.8
158,44,8/4/2025,VB-1401MT(0.5MMX40MM),8.06,100,9,72.54,9,72.54,0,0,951.08
159,44,8/4/2025,VB-1803 ASH DARK(0.45MMX22MM),3.94,200,9,70.92,9,70.92,0,0,929.84
160,44,8/4/2025,VB-REALWOOD2 (0.45X22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
161,45,9/4/2025,VB-10659 (0.45X22MM),3.94,500,9,177.3,9,177.3,0,0,2324.6
162,45,9/4/2025,VB-REALWOOD3 (0.45X22MM),3.94,500,9,177.3,9,177.3,0,0,2324.6
163,46,9/4/2025,VAY BAND 1113HG(OFF-WHITE),6.19,500,9,278.55,9,278.55,0,0,3652.1
164,46,9/4/2025,VAY BAND 1126 MT .45X22MM,3.6,100,9,32.4,9,32.4,0,0,424.8
165,46,9/4/2025,VAY BAND 1140 HG DARK GREY 3,6.19,250,9,139.28,9,139.28,0,0,1826.06
166,46,9/4/2025,VAY BAND 1267 LITE GREY,4.03,250,9,90.68,9,90.68,0,0,1188.86
167,46,9/4/2025,VAY BAND1114HG,6.19,500,9,278.55,9,278.55,0,0,3652.1
168,46,9/4/2025,VB-1113 MAT OFF-WHITE (0.45MMX22MM),3.6,500,9,162,9,162,0,0,2124
169,46,9/4/2025,VB-1140 BAGE (0.45MMX22MM),3.6,500,9,162,9,162,0,0,2124
170,46,9/4/2025,VB-1291 ELECTRIC BLUE (0.45MMX22MM),3.6,150,9,48.6,9,48.6,0,0,637.2
171,46,9/4/2025,VB-1299 NAVY BLUE (0.45MMX22MM),3.6,150,9,48.6,9,48.6,0,0,637.2
172,47,9/4/2025,VAY BAND 1126 HG (.5),6.19,100,9,55.71,9,55.71,0,0,730.42
173,47,9/4/2025,VAY BAND1114HG,6.19,250,9,139.28,9,139.28,0,0,1826.06
174,47,9/4/2025,VAY BAND1135 HG{.5},6.19,100,9,55.71,9,55.71,0,0,730.42
175,47,9/4/2025,VB-10485(0.45X22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
176,47,9/4/2025,VB-10659 (0.45X22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
177,47,9/4/2025,VB-1113 MAT OFF-WHITE (0.45MMX22MM),3.6,250,9,81,9,81,0,0,1062
178,47,9/4/2025,VB-1114 MAT (0.45MMX22MM),3.6,250,9,81,9,81,0,0,1062
179,47,9/4/2025,VB-1118 (0.45X22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
180,47,9/4/2025,VB-1263HG(0.5MMX22MM),6.19,100,9,55.71,9,55.71,0,0,730.42
181,47,9/4/2025,VB-19071 (0.45X22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
182,47,9/4/2025,VB-2892 MT(.45X22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
183,47,9/4/2025,VB-REALWUD 0.45X22MM,3.94,250,9,88.65,9,88.65,0,0,1162.3
184,48,9/4/2025,VB-1113 MAT OFF-WHITE (0.45MMX22MM),3.6,200,9,64.8,9,64.8,0,0,849.6
185,48,9/4/2025,VB-2892 MT(.45X22MM),3.94,200,9,70.92,9,70.92,0,0,929.84
186,49,9/4/2025,VAY BAND 1126 MT .45X22MM,3.6,200,9,64.8,9,64.8,0,0,849.6
187,49,9/4/2025,VAY BAND 5774 (0.5X22),3.94,200,9,70.92,9,70.92,0,0,929.84
188,49,9/4/2025,VAY BAND 6987 (0.45X22),3.94,200,9,70.92,9,70.92,0,0,929.84
189,49,9/4/2025,VB-10659 (0.45X22MM),3.94,200,9,70.92,9,70.92,0,0,929.84
190,49,9/4/2025,VB-1119 (0.45X22MM),3.94,200,9,70.92,9,70.92,0,0,929.84
191,49,9/4/2025,VB-1127 MT(0.45X22MM),3.5,200,9,63,9,63,0,0,826
192,49,9/4/2025,VB-1129 MAT(0.45MMX22MM),3.6,200,9,64.8,9,64.8,0,0,849.6
193,49,9/4/2025,VB-1132(0.45X22MM),3.94,200,9,70.92,9,70.92,0,0,929.84
194,49,9/4/2025,VB-1873 (0.45X22MM),3.94,200,9,70.92,9,70.92,0,0,929.84
195,49,9/4/2025,VB-2892 MT(.45X22MM),3.94,200,9,70.92,9,70.92,0,0,929.84
196,49,9/4/2025,VB-5465 (0.45X22MM),3.94,200,9,70.92,9,70.92,0,0,929.84
197,49,9/4/2025,VB-REALWOOD3 (0.45X22MM),3.94,200,9,70.92,9,70.92,0,0,929.84
198,50,9/4/2025,VB-10450 (0.45X22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
199,50,9/4/2025,VB-1401MT (0.45X22MM),3.6,250,9,81,9,81,0,0,1062
200,51,9/4/2025,VAY BAND 10659 40MM,11.03,100,9,99.27,9,99.27,0,0,1301.54
201,51,9/4/2025,VAY BAND 1267 LITE GREY,4.03,50,9,18.14,9,18.14,0,0,237.78
202,51,9/4/2025,VB-10659 (0.45X22MM),3.94,500,9,177.3,9,177.3,0,0,2324.6
203,51,9/4/2025,VB-1122 VENGA( 0.45X22MM),3.94,100,9,35.46,9,35.46,0,0,464.92
204,51,9/4/2025,VB-11510(0.45X22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
205,52,9/4/2025,VAY BAND 1113HG(OFF-WHITE)40MMX50MTR,11.88,50,9,53.46,9,53.46,0,0,700.92
206,52,9/4/2025,VAY BAND 1126 HG (.5),6.19,100,9,55.71,9,55.71,0,0,730.42
207,52,9/4/2025,VAY BAND 1126 MT .45X22MM,3.6,50,9,16.2,9,16.2,0,0,212.4
208,52,9/4/2025,VAY BAND 1313 HG CLUD GREY,6.19,100,9,55.71,9,55.71,0,0,730.42
209,52,9/4/2025,VB-1044 (0.45MMX22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
210,52,9/4/2025,VB-10485(0.45X22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
211,52,9/4/2025,VB-10659 (0.45X22MM),3.94,200,9,70.92,9,70.92,0,0,929.84
212,52,9/4/2025,VB-1114 MAT (0.45MMX22MM),3.6,100,9,32.4,9,32.4,0,0,424.8
213,52,9/4/2025,VB-1141 {0.45X22MM},3.94,100,9,35.46,9,35.46,0,0,464.92
214,52,9/4/2025,VB-2892 MT(.45X22MM),3.94,50,9,17.73,9,17.73,0,0,232.46
215,53,10/4/2025,VB-1013 (0.45X22MM),3.94,50,9,17.73,9,17.73,0,0,232.46
216,53,10/4/2025,VB-1804{0.45X22MM},3.94,50,9,17.73,9,17.73,0,0,232.46
217,54,10/4/2025,VAY BAND 1114GL 0.8MMX22MM,10.17,400,9,366.12,9,366.12,0,0,4800.24
218,54,10/4/2025,VAY BAND 1114MT 0.8MMX22MM,7.89,250,9,177.52,9,177.52,0,0,2327.54
219,54,10/4/2025,VAY BAND 1261HG (DARK GREY),6.19,250,9,139.28,9,139.28,0,0,1826.06
220,54,10/4/2025,VAY BAND 1313 HG CLUD GREY,6.19,500,9,278.55,9,278.55,0,0,3652.1
221,54,10/4/2025,VAY BAND1114HG,6.19,250,9,139.28,9,139.28,0,0,1826.06
222,54,10/4/2025,VB-1261 MAT(0.45MMX22MM),3.6,250,9,81,9,81,0,0,1062
223,54,10/4/2025,VB-1313MT(0.45MMX22MM),3.6,250,9,81,9,81,0,0,1062
224,55,10/4/2025,VAY BAND REALWUD3 - 0.5X40MM,11.03,150,9,148.9,9,148.9,0,0,1952.3
225,55,10/4/2025,VAY BAND1135 HG{.5},6.19,150,9,83.57,9,83.57,0,0,1095.64
226,55,10/4/2025,VB-1113 MAT OFF-WHITE (0.45MMX22MM),3.6,250,9,81,9,81,0,0,1062
227,55,10/4/2025,VB-1114 MAT (0.45MMX22MM),3.6,250,9,81,9,81,0,0,1062
228,55,10/4/2025,VB-REALWOOD2 (0.45X22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
229,55,10/4/2025,VB-REALWOOD3 (0.45X22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
230,56,10/4/2025,VB-19070(0.45MMX22MM),3.94,300,9,106.38,9,106.38,0,0,1394.76
231,57,10/4/2025,VAY BAND 1126 HG (.5),6.19,250,9,139.28,9,139.28,0,0,1826.06
