Store ID,Store Name,Item Key,Item Code / SKU,Item Name,Category / Size / Type,Current Stock Quantity,Purchase Price,Supplier Name,Unit,Box Size / Pack Size / MOQ,Stock Value,Location / Rack,Source Row Number,Source File Name
STORE-0001,Vay Incorporates,VAY BAND 1401GL BLACK GLOSSY,VAY BAND 1401GL BLACK GLOSSY,VAY BAND 1401GL BLACK GLOSSY,Uncategorized,19700.0,5.7,Unknown Supplier,,,112290.0,,88,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1401HG 40MMX50MTR,VAY BAND 1401HG 40MMX50MTR,VAY BAND 1401HG 40MMX50MTR,Uncategorized,1450.0,7.98,Unknown Supplier,,,11571.0,,89,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1515 VENGA MT,VAY BAND 1515 VENGA MT,VAY BAND 1515 VENGA MT,Uncategorized,0.0,3.39,Unknown Supplier,,,0.0,,90,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1515 VENGA MT (0.45MMX22MM),VAY BAND 1515 VENGA MT (0.45MMX22MM),VAY BAND 1515 VENGA MT (0.45MMX22MM),Uncategorized,3450.0,3.05,Unknown Supplier,,,10522.5,,91,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1735 (.45X22MM),VAY BAND 1735 (.45X22MM),VAY BAND 1735 (.45X22MM),Uncategorized,9350.0,3.05,Unknown Supplier,,,31696.5,,92,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1735 40MM,VAY BAND 1735 40MM,VAY BAND 1735 40MM,Uncategorized,0.0,8.26,Unknown Supplier,,,0.0,,93,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1873,VAY BAND 1873,VAY BAND 1873,Uncategorized,1950.0,3.39,Unknown Supplier,,,6610.5,,94,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1873 0.5MMX40MM,VAY BAND 1873 0.5MMX40MM,VAY BAND 1873 0.5MMX40MM,Uncategorized,100.0,8.26,Unknown Supplier,,,826.0,,95,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1873 0.8MMX22MM,VAY BAND 1873 0.8MMX22MM,VAY BAND 1873 0.8MMX22MM,Uncategorized,6600.0,7.5,Unknown Supplier,,,49500.0,,96,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1873 0.8MMX40MM,VAY BAND 1873 0.8MMX40MM,VAY BAND 1873 0.8MMX40MM,Uncategorized,1900.0,13.3,Unknown Supplier,,,25270.0,,97,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1873 2MMX22MM,VAY BAND 1873 2MMX22MM,VAY BAND 1873 2MMX22MM,Uncategorized,0.0,15.1,Unknown Supplier,,,0.0,,98,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1873 2MMX40MM,VAY BAND 1873 2MMX40MM,VAY BAND 1873 2MMX40MM,Uncategorized,1050.0,31.88,Unknown Supplier,,,33474.0,,99,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 19070,VAY BAND 19070,VAY BAND 19070,Uncategorized,0.0,3.39,Unknown Supplier,,,0.0,,100,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 19070 0.5MMX40MM,VAY BAND 19070 0.5MMX40MM,VAY BAND 19070 0.5MMX40MM,Uncategorized,0.0,8.26,Unknown Supplier,,,0.0,,101,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 19071,VAY BAND 19071,VAY BAND 19071,Uncategorized,50.0,3.39,Unknown Supplier,,,169.5,,102,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 19074,VAY BAND 19074,VAY BAND 19074,Uncategorized,1500.0,3.39,Unknown Supplier,,,5085.0,,103,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 19079,VAY BAND 19079,VAY BAND 19079,Uncategorized,300.0,3.39,Unknown Supplier,,,1017.0,,104,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 2010 IVORY MAT,VAY BAND 2010 IVORY MAT,VAY BAND 2010 IVORY MAT,Uncategorized,0.0,2.8,Unknown Supplier,,,0.0,,105,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 2011 RED MAT,VAY BAND 2011 RED MAT,VAY BAND 2011 RED MAT,Uncategorized,0.0,2.8,Unknown Supplier,,,0.0,,106,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 2012 PINK MAT,VAY BAND 2012 PINK MAT,VAY BAND 2012 PINK MAT,Uncategorized,0.0,2.8,Unknown Supplier,,,0.0,,107,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 30007MT(0.5X22),VAY BAND 30007MT(0.5X22),VAY BAND 30007MT(0.5X22),Uncategorized,0.0,3.39,Unknown Supplier,,,0.0,,108,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 30029MT,VAY BAND 30029MT,VAY BAND 30029MT,Uncategorized,0.0,3.39,Unknown Supplier,,,0.0,,109,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 30034MT,VAY BAND 30034MT,VAY BAND 30034MT,Uncategorized,0.0,3.39,Unknown Supplier,,,0.0,,110,STOCK 26-27.csv
