Item Code / SKU,Item Key,Item Name,Overall Monthly Velocity Qty,Recent Monthly Velocity Qty,Weighted Velocity Qty,Velocity Percentile,Velocity Class,Sales Frequency %,Recent Sales Frequency %,Consistency Class
VAY G-PROFILE CP BRUSH 10FT-1050GRM,VAY G-PROFILE CP BRUSH 10FT-1050GRM,VAY G-PROFILE CP BRUSH 10FT-1050GRM,0.0,0.0,0.0,0.0,Dead Stock / No Sales,0.0,0.0,Irregular
VAY G-PROFILE GREY 10 FT-1050 GRM,VAY G-PROFILE GREY 10 FT-1050 GRM,VAY G-PROFILE GREY 10 FT-1050 GRM,0.5,3.3333333333333335,2.4833333333333334,4.724409448818897,Slow Moving,5.0,33.33333333333333,Irregular
VAY G-PROFILE GREY 10 FT-1250 GRM,VAY G-PROFILE GREY 10 FT-1250 GRM,VAY G-PROFILE GREY 10 FT-1250 GRM,0.25,1.6666666666666667,1.2416666666666667,2.7559055118110236,Slow Moving,2.5,16.666666666666664,One-time Sale
VAY G-PROFILE ROSE GOLD 10 FT-1050 GRM,VAY G-PROFILE ROSE GOLD 10 FT-1050 GRM,VAY G-PROFILE ROSE GOLD 10 FT-1050 GRM,0.5,3.3333333333333335,2.4833333333333334,4.724409448818897,Slow Moving,5.0,33.33333333333333,Irregular
VAY G-PROFILE ROSE GOLD 10 FT-1250 GRM,VAY G-PROFILE ROSE GOLD 10 FT-1250 GRM,VAY G-PROFILE ROSE GOLD 10 FT-1250 GRM,0.5,3.3333333333333335,2.4833333333333334,4.724409448818897,Slow Moving,5.0,33.33333333333333,Irregular
VB-1002 MT(0.45X22MM,VB-1002 MT(0.45X22MM,VB-1002 MT(0.45X22MM,28.75,0.0,8.625,10.433070866141732,Dormant,7.5,0.0,Dormant
VB-1003 MT(0.45X22MM),VB-1003 MT(0.45X22MM),VB-1003 MT(0.45X22MM),21.25,41.666666666666664,35.541666666666664,23.228346456692915,Slow Moving,10.0,16.666666666666664,Irregular
VB-1011 MT(0.45MMX22MM),VB-1011 MT(0.45MMX22MM),VB-1011 MT(0.45MMX22MM),333.75,0.0,100.125,48.818897637795274,Dormant,12.5,0.0,Dormant
VB-1013 (0.45X22MM),VB-1013 (0.45X22MM),VB-1013 (0.45X22MM),576.25,741.6666666666666,692.0416666666666,90.15748031496062,Very Fast Moving,27.5,50.0,Irregular
VB-1033 WHITE WOOD (0.45MMX22MM),VB-1033 WHITE WOOD (0.45MMX22MM),VB-1033 WHITE WOOD  (0.45MMX22MM),160.0,25.0,65.5,40.55118110236221,Medium Moving,40.0,16.666666666666664,Irregular
VB-1037( 0.45X22MM),VB-1037( 0.45X22MM),VB-1037( 0.45X22MM),16.25,0.0,4.875,6.102362204724409,Dormant,7.5,0.0,Dormant
VB-1044 (0.45MMX22MM),VB-1044 (0.45MMX22MM),VB-1044 (0.45MMX22MM),513.75,316.6666666666667,375.79166666666663,78.34645669291339,Fast Moving,40.0,50.0,Irregular
VB-10450 (0.45X22MM),VB-10450 (0.45X22MM),VB-10450 (0.45X22MM),231.25,191.66666666666666,203.54166666666666,64.56692913385827,Medium Moving,22.5,33.33333333333333,Irregular
VB-1048 (0.45X22MM),VB-1048 (0.45X22MM),VB-1048 (0.45X22MM),250.0,0.0,75.0,41.338582677165356,Dormant,12.5,0.0,Dormant
VB-10485(0.45X22MM),VB-10485(0.45X22MM),VB-10485(0.45X22MM),886.25,1150.0,1070.875,92.91338582677166,Very Fast Moving,27.5,50.0,Irregular
VB-10659 (0.45X22MM),VB-10659 (0.45X22MM),VB-10659 (0.45X22MM),3362.5,5633.333333333333,4952.083333333333,100.0,Very Fast Moving,30.0,50.0,Irregular
VB-10659 MT(0.8MMX40MM),VB-10659 MT(0.8MMX40MM),VB-10659 MT(0.8MMX40MM),11.25,33.333333333333336,26.708333333333332,20.078740157480315,Slow Moving,12.5,33.33333333333333,Irregular
VB-1071 (0.45X22MM),VB-1071 (0.45X22MM),VB-1071  (0.45X22MM),210.0,0.0,63.0,38.976377952755904,Dormant,25.0,0.0,Dormant
VB-1090 (0.45X22MM),VB-1090 (0.45X22MM),VB-1090 (0.45X22MM),321.25,0.0,96.375,48.031496062992126,Dormant,25.0,0.0,Dormant
